sid|list|delist|list_entry|delist_entry
000967.SZ|20000330|||
000968.SZ|20000622|||
000969.SZ|20000529|||
000970.SZ|20000420|||
000971.SZ|20000427|20240724||20240724
000972.SZ|20000926|||
000973.SZ|20000525|||
000975.SZ|20000608|||
000976.SZ|20000601|20240827||20240827
000977.SZ|20000608|||
000978.SZ|20000518|||
000979.SZ|20000616|20181228||
000980.SZ|20000616|||
000981.SZ|20000622|||
000982.SZ|20000706|20240812||20240812
000983.SZ|20000726|||
000985.SZ|20000726|||
000987.SZ|20000718|||
000988.SZ|20000608|||
000989.SZ|20000628|||
000990.SZ|20000706|||
000993.SZ|20000731|||
000995.SZ|20000807|||
000996.SZ|20000718|20240628||20240628
000997.SZ|20000807|||
000998.SZ|20001211|||
000999.SZ|20000309|||
001201.SZ|20210428|||
001202.SZ|20210429|||
001203.SZ|20210510|||
001205.SZ|20210513|||
001206.SZ|20210518|||
001207.SZ|20210623|||
001208.SZ|20210624|||
001209.SZ|20210723|||
001210.SZ|20210729|||
001211.SZ|20210805|||
001212.SZ|20210823|||
001213.SZ|20210908|||
001215.SZ|20210906|||
001216.SZ|20211019|||
001217.SZ|20210929|||
001218.SZ|20211015|||
001219.SZ|20211021|||
001222.SZ|20220818||20220817|
001223.SZ|20221212||20221209|
001225.SZ|20230222||20230221|
001226.SZ|20220622||20220622|
001227.SZ|20220117||20220117|
001228.SZ|20220429||20220428|
001229.SZ|20220808||20220805|
001230.SZ|20220715||20220714|
001231.SZ|20220819||20220818|
001234.SZ|20220111||20220111|
001236.SZ|20220805||20220804|
001238.SZ|20220919||20220916|
001239.SZ|20231212||20231211|
001255.SZ|20220930||20220929|
001256.SZ|20221205||20221202|
001258.SZ|20220727||20220726|
001259.SZ|20220831||20220830|
001260.SZ|20230216||20230215|
001266.SZ|20220228||20220228|
001267.SZ|20211117|||
001268.SZ|20220630||20220629|
001269.SZ|20220930||20220929|
001270.SZ|20220606||20220606|
001277.SZ|20240903||20240902|
001278.SZ|20230308||20230307|
001279.SZ|20241011||20241010|
001282.SZ|20230524||20230523|
001283.SZ|20220905||20220902|
001286.SZ|20230410||20230407|
001287.SZ|20230410||20230407|
001288.SZ|20211101|||
001289.SZ|20220124||20220125|
001296.SZ|20211224||20211224|
001298.SZ|20221031||20221028|
001299.SZ|20221031||20221028|
001300.SZ|20221019||20221018|
001301.SZ|20221228||20221227|
001306.SZ|20231116||20231115|
001308.SZ|20220318||20220318|
001309.SZ|20220701||20220630|
001311.SZ|20230227||20230224|
001313.SZ|20220216||20220216|
001314.SZ|20230214||20230213|
001316.SZ|20220624||20220624|
001317.SZ|20211130||20211130|
001318.SZ|20220520||20220519|
001319.SZ|20220512||20220511|
001322.SZ|20221026||20221025|
001323.SZ|20220623||20220623|
001324.SZ|20230522||20230519|
001326.SZ|20231109||20231108|
001328.SZ|20230410||20230407|
001330.SZ|20220818||20220817|
001331.SZ|20220908||20220908|
001332.SZ|20220920||20220919|
001333.SZ|20221208||20221207|
001336.SZ|20220725||20220722|
001337.SZ|20230303||20230302|
001338.SZ|20221116||20221115|
001339.SZ|20220815||20220812|
001358.SZ|20231221||20231220|
001359.SZ|20240328||20240327|
001360.SZ|20230410||20230407|
001366.SZ|20230307||20230306|
001367.SZ|20230410||20230407|
001368.SZ|20230313||20230310|
001373.SZ|20230601||20230531|
001376.SZ|20231103||20231102|
001378.SZ|20231030||20231027|
001379.SZ|20240119||20240118|
001380.SZ|20230516||20230515|
001387.SZ|20240111||20240110|
001389.SZ|20240402||20240401|
001696.SZ|19970306|||
001872.SZ|20181226|||
001896.SZ|19980122|||
001914.SZ|20191216|||
001965.SZ|20171225|||
001979.SZ|20151230|||
002001.SZ|20040625|||
002002.SZ|20040625|20240318||20240318
002003.SZ|20040625|||
002004.SZ|20040625|||
002005.SZ|20040625|||
002006.SZ|20040625|||
002007.SZ|20040625|||
002008.SZ|20040625|||
002009.SZ|20040629|||
002010.SZ|20040629|||
002011.SZ|20040705|||
002012.SZ|20040705|||
002013.SZ|20040705|20230317||20230317
002014.SZ|20040708|||
002015.SZ|20040708|||
002016.SZ|20040708|||
002017.SZ|20040713|||
002018.SZ|20040713|20191101||
002019.SZ|20040713|||
002020.SZ|20040715|||
002021.SZ|20040715|||
002022.SZ|20040721|||
002023.SZ|20040721|||
002024.SZ|20040721|||
002025.SZ|20040726|||
002026.SZ|20040727|||
002027.SZ|20040804|||
002028.SZ|20040805|||
002029.SZ|20040806|||
002030.SZ|20040809|||
002031.SZ|20040816|||
002032.SZ|20040817|||
002033.SZ|20040825|||
002034.SZ|20040826|||
002035.SZ|20040901|||
002036.SZ|20040903|||
002037.SZ|20040908|||
002038.SZ|20040909|||
002039.SZ|20050303|||
002040.SZ|20050325|||
002041.SZ|20050418|||
002042.SZ|20050427|||
002043.SZ|20050510|||
002044.SZ|20050518|||
002045.SZ|20050523|||
002046.SZ|20050526|||
002047.SZ|20050531|||
002048.SZ|20050603|||
002049.SZ|20050606|||
002050.SZ|20050607|||
002051.SZ|20060619|||
002052.SZ|20060627|||
002053.SZ|20060627|||
002054.SZ|20060725|||
002055.SZ|20060725|||
002056.SZ|20060802|||
002057.SZ|20060802|||
002058.SZ|20060802|||
002059.SZ|20060810|||
002060.SZ|20060810|||
002061.SZ|20060816|||
002062.SZ|20060816|||
002063.SZ|20060823|||
002064.SZ|20060823|||
002065.SZ|20060823|||
002066.SZ|20060823|||
002067.SZ|20060915|||
002068.SZ|20060915|||
002069.SZ|20060928|||
002070.SZ|20061012|20190709||
002071.SZ|20061012|20210507||
002072.SZ|20061018|||
002073.SZ|20061018|||
002074.SZ|20061018|||
002075.SZ|20061025|||
002076.SZ|20061025|||
002077.SZ|20061116|||
002078.SZ|20061116|||
002079.SZ|20061116|||
002080.SZ|20061120|||
002081.SZ|20061120|||
002082.SZ|20061120|||
002083.SZ|20061124|||
002084.SZ|20061124|||
002085.SZ|20061128|||
002086.SZ|20061128|||
002087.SZ|20061130|20240628||20240628
002088.SZ|20061130|||
002089.SZ|20061130|20240418||20240418
002090.SZ|20061208|||
002091.SZ|20061208|||
002092.SZ|20061208|||
002093.SZ|20061215|||
002094.SZ|20061215|||
002095.SZ|20061215|||
002096.SZ|20061222|||
002097.SZ|20061222|||
002098.SZ|20061222|||
002099.SZ|20061226|||
002100.SZ|20061226|||
002101.SZ|20061229|||
002102.SZ|20061229|||
002103.SZ|20070110|||
002104.SZ|20070110|||
002105.SZ|20070112|||
002106.SZ|20070112|||
002107.SZ|20070124|||
002108.SZ|20070124|||
002109.SZ|20070126|||
002110.SZ|20070126|||
002111.SZ|20070126|||
002112.SZ|20070208|||
002113.SZ|20070208|20230811||20230811
002114.SZ|20070215|||
002115.SZ|20070215|||
002116.SZ|20070215|||
002117.SZ|20070302|||
002118.SZ|20070302|20230804||20230731
002119.SZ|20070302|||
002120.SZ|20070306|||
002121.SZ|20070306|||
002122.SZ|20070328|||
002123.SZ|20070328|||
002124.SZ|20070403|||
002125.SZ|20070403|||
002126.SZ|20070418|||
002127.SZ|20070418|||
002128.SZ|20070418|||
002129.SZ|20070420|||
002130.SZ|20070420|||
002131.SZ|20070427|||
002132.SZ|20070427|||
002133.SZ|20070427|||
002134.SZ|20070516|||
002135.SZ|20070530|||
002136.SZ|20070530|||
002137.SZ|20070613|||
002138.SZ|20070613|||
002139.SZ|20070629|||
002140.SZ|20070712|||
002141.SZ|20070720|||
002142.SZ|20070719|||
002143.SZ|20070720|20191129||
002144.SZ|20070803|||
002145.SZ|20070803|||
002146.SZ|20070808|||
002147.SZ|20070808|20220623||20220623
002148.SZ|20070810|||
002149.SZ|20070810|||
002150.SZ|20070810|||
002151.SZ|20070813|||
002152.SZ|20070813|||
002153.SZ|20070813|||
002154.SZ|20070816|||
002155.SZ|20070816|||
002156.SZ|20070816|||
002157.SZ|20070817|||
002158.SZ|20070817|||
002159.SZ|20070817|||
002160.SZ|20070821|||
002161.SZ|20070821|||
002162.SZ|20070823|||
002163.SZ|20070823|||
002164.SZ|20070823|||
002165.SZ|20070913|||
002166.SZ|20070913|||
002167.SZ|20070913|||
002168.SZ|20070919|||
002169.SZ|20070919|||
002170.SZ|20070919|||
002171.SZ|20070921|||
002172.SZ|20070921|||
002173.SZ|20070925|||
002174.SZ|20070925|||
002175.SZ|20071012|||
002176.SZ|20071012|||
002177.SZ|20071101|||
002178.SZ|20071101|||
002179.SZ|20071101|||
002180.SZ|20071113|||
002181.SZ|20071116|||
002182.SZ|20071113|||
002183.SZ|20071113|||
002184.SZ|20071116|||
002185.SZ|20071120|||
002186.SZ|20071120|||
002187.SZ|20071122|||
002188.SZ|20071122|||
002189.SZ|20071203|||
002190.SZ|20071203|||
002191.SZ|20071205|||
002192.SZ|20071205|||
002193.SZ|20071207|||
002194.SZ|20071207|||
002195.SZ|20071212|||
002196.SZ|20071212|||
002197.SZ|20071218|||
002198.SZ|20071218|||
002199.SZ|20071221|||
002200.SZ|20071221|||
002201.SZ|20071226|||
002202.SZ|20071226|||
002203.SZ|20080116|||
002204.SZ|20080116|||
002205.SZ|20080123|||
002206.SZ|20080123|||
002207.SZ|20080128|||
002208.SZ|20080128|||
002209.SZ|20080130|||
002210.SZ|20080130|||
002211.SZ|20080201|||
002212.SZ|20080201|||
002213.SZ|20080201|||
002214.SZ|20080218|||
002215.SZ|20080218|||
002216.SZ|20080220|||
002217.SZ|20080220|||
002218.SZ|20080228|||
002219.SZ|20080306|||
002220.SZ|20080228|20200811||
002221.SZ|20080306|||
002222.SZ|20080319|||
002223.SZ|20080418|||
002224.SZ|20080425|||
002225.SZ|20080425|||
002226.SZ|20080506|||
002227.SZ|20080506|||
002228.SZ|20080508|||
002229.SZ|20080508|||
002230.SZ|20080512|||
002231.SZ|20080512|||
002232.SZ|20080509|||
002233.SZ|20080516|||
002234.SZ|20080516|||
002235.SZ|20080516|||
002236.SZ|20080520|||
002237.SZ|20080520|||
002238.SZ|20080526|||
002239.SZ|20080522|||
002240.SZ|20080523|||
002241.SZ|20080522|||
002242.SZ|20080528|||
002243.SZ|20080528|||
002244.SZ|20080529|||
002245.SZ|20080605|||
002246.SZ|20080605|||
002247.SZ|20080612|||
002248.SZ|20080612|||
002249.SZ|20080619|||
002250.SZ|20080619|||
002251.SZ|20080619|||
002252.SZ|20080623|||
002253.SZ|20080623|||
002254.SZ|20080625|||
002255.SZ|20080625|||
002256.SZ|20080625|||
002258.SZ|20080708|||
002259.SZ|20080716|||
002260.SZ|20080716|20220617||20220617
002261.SZ|20080723|||
002262.SZ|20080723|||
002263.SZ|20080728|||
002264.SZ|20080731|||
002265.SZ|20080806|||
002266.SZ|20080806|||
002267.SZ|20080813|||
002268.SZ|20080811|||
002269.SZ|20080828|||
002270.SZ|20080905|||
002271.SZ|20080910|||
002272.SZ|20080919|||
002273.SZ|20080919|||
002274.SZ|20080925|||
002275.SZ|20090710|||
002276.SZ|20090710|||
002277.SZ|20090717|||
002278.SZ|20090811|||
002279.SZ|20090811|||
002280.SZ|20090821|20240816||20240816
002281.SZ|20090821|||
002282.SZ|20090821|||
002283.SZ|20090821|||
002284.SZ|20090828|||
002285.SZ|20090828|||
002286.SZ|20090828|||
002287.SZ|20090828|||
002288.SZ|20090903|20240819||20240819
002289.SZ|20090903|||
002290.SZ|20090903|||
002291.SZ|20090903|||
002292.SZ|20090910|||
002293.SZ|20090910|||
002294.SZ|20090910|||
002295.SZ|20090929|||
002296.SZ|20090929|||
002297.SZ|20090929|||
002298.SZ|20090929|||
002299.SZ|20091021|||
002300.SZ|20091021|||
002301.SZ|20091021|||
002302.SZ|20091103|||
002303.SZ|20091103|||
002304.SZ|20091106|||
002305.SZ|20091106|||
002306.SZ|20091111|||
002307.SZ|20091111|||
002308.SZ|20091127|20240927||20240927
002309.SZ|20091127|||
002310.SZ|20091127|||
002311.SZ|20091127|||
002312.SZ|20091203|||
002313.SZ|20091203|||
002314.SZ|20091203|||
002315.SZ|20091209|||
002316.SZ|20091209|||
002317.SZ|20091211|||
002318.SZ|20091211|||
002319.SZ|20091211|||
002320.SZ|20091216|||
002321.SZ|20091216|||
002322.SZ|20091218|||
002323.SZ|20091218|||
002324.SZ|20091218|||
002325.SZ|20091222|20240815||20240815
002326.SZ|20091222|||
002327.SZ|20091230|||
002328.SZ|20091230|||
002329.SZ|20100106|||
002330.SZ|20100106|||
002331.SZ|20100106|||
002332.SZ|20100112|||
002333.SZ|20100112|||
002334.SZ|20100113|||
002335.SZ|20100113|||
002336.SZ|20100113|||
002337.SZ|20100115|||
002338.SZ|20100115|||
002339.SZ|20100122|||
002340.SZ|20100122|||
002341.SZ|20100122|20240823||20240823
002342.SZ|20100126|||
002343.SZ|20100126|||
002344.SZ|20100126|||
002345.SZ|20100128|||
002346.SZ|20100128|||
002347.SZ|20100128|||
002348.SZ|20100203|||
002349.SZ|20100203|||
002350.SZ|20100203|||
002351.SZ|20100205|||
002352.SZ|20100205|||
002353.SZ|20100205|||
002354.SZ|20100209|||
002355.SZ|20100209|||
002356.SZ|20100209|||
002357.SZ|20100210|||
002358.SZ|20100210|||
002359.SZ|20100210|20210723||
002360.SZ|20100303|||
002361.SZ|20100303|||
002362.SZ|20100303|||
002363.SZ|20100305|||
002364.SZ|20100305|||
002365.SZ|20100305|||
002366.SZ|20100312|||
002367.SZ|20100312|||
002368.SZ|20100312|||
002369.SZ|20100316|||
002370.SZ|20100316|||
002371.SZ|20100316|||
002372.SZ|20100318|||
002373.SZ|20100318|||
002374.SZ|20100318|||
002375.SZ|20100323|||
002376.SZ|20100323|||
002377.SZ|20100323|||
002378.SZ|20100331|||
002379.SZ|20100331|||
002380.SZ|20100331|||
002381.SZ|20100402|||
002382.SZ|20100402|||
002383.SZ|20100402|||
002384.SZ|20100409|||
002385.SZ|20100409|||
002386.SZ|20100409|||
002387.SZ|20100413|||
002388.SZ|20100413|||
002389.SZ|20100413|||
002390.SZ|20100416|||
002391.SZ|20100416|||
002392.SZ|20100423|||
002393.SZ|20100423|||
002394.SZ|20100423|||
002395.SZ|20100429|||
002396.SZ|20100623|||
002397.SZ|20100429|||
002398.SZ|20100506|||
002399.SZ|20100506|||
002400.SZ|20100506|||
002401.SZ|20100506|||
002402.SZ|20100511|||
002403.SZ|20100511|||
002404.SZ|20100511|||
002405.SZ|20100518|||
002406.SZ|20100518|||
002407.SZ|20100518|||
002408.SZ|20100518|||
002409.SZ|20100525|||
002410.SZ|20100525|||
002411.SZ|20100525|20230712||20230712
002412.SZ|20100525|||
