sid|list|delist|list_entry|delist_entry
23762|20091218|||
54590|19961216|20210412.0||
59289|20010109|||
29410|20120319|||
55249|19970328|||
55298|19970418|||
56925|19980902|||
54369|19960826|||
55398|19970528|||
29180|20150630|||
24263|20100210|20210723.0||
53487|19960909|||
24644|20100506|||
24376|20100316|||
24723|20100528|||
30668|20140128|||
533495|20170822|||
58509|20030912|||
26943|20110322|||
29039|20120315|||
14820|20031016|||
47348|19930107|||
29102|20120821|||
846066|20171208|||
244205|20161216|||
15576|20040526|||
244865|20170110|||
914224|20171227|||
21104|20080218|||
55286|19970408|||
242827|20161025|||
18375|20060915|||
20206|20070821|||
241185|20160816|||
56774|19980427|||
27264|20150225|||
474444|20170721|||
29591|20120703|||
55313|19970423|||
18194|20060619|||
27250|20120416|||
34628|20150226|||
522073|20170728|||
23325|20091216|||
13036|20020116|||
538105|20170907|||
27400|20110511|||
28577|20140801|||
614681|20171110|||
36399|20150527|||
28394|20140630|||
54734|19960926|||
27784|20110506|||
28622|20120920|||
23435|20150610|||
55257|19970618|||
20933|20080116|||
588266|20171106|||
15425|20040405|||
30283|20140123|||
14319|20030304|||
35851|20140912|||
24699|20100518|||
59535|20010531|||
14826|20031021|||
54594|19961203|||
416222|20170509|||
57918|19990831|||
16025|20040906|||
55543|19970804|||
27408|20120503|||
917236|20171229|||
426055|20170628|||
20164|20070817|||
534269|20170824|||
23668|20091030|||
47500|19910625|||
25734|20100902|20240725.0||20240724.0
55640|19970520|20230725.0||20230719.0
54007|19960516|||
57911|19990630|||
25200|20100520|||
57446|19990319|||
18713|20061120|||
57292|19990319|||
47262|19920814|||
28393|20120605|||
58477|20000612|||
47487|19931126|||
57103|19991014|||
57895|19990720|20230728.0||20230727.0
24719|20100326|||
24725|20100528|||
57141|19991125|||
39916160|20200120|||
47434|19910129|||
36507|20150612|||
55418|19970626|||
47795|19940224|20240711.0||20240705.0
55449|19970620|||
54462|19961108|20230823.0||20230822.0
27723|20110520|||
54665|19970227|||
47724|19940408|||
47380|19930614|||
14154|20030114|||
18094|20101206|||
54061|19960619|||
25959|20100928|||
45066463|20200707|||
18343|20060823|||
58581|20000525|||
28453|20150513|||
14530|20030619|||
244649|20161229|||
18422|20071101|||
28404|20120612|||
238446|20160506|||
26107|20120619|||
54413|19960918|||
23396|20091225|||
27979|20110610|||
16666|20141229|||
47350|19930119|||
14001|20110630|||
18257|20060725|||
551878|20171013|||
23871|20100106|||
241261|20160818|||
55372|19970606|||
15510|20040510|||
19330|20070302|||
58724|20000726|||
29355|20120220|||
59351|20010412|||
12985|20071225|||
22793221|20180516|||
28219|20110728|||
14364|20030325|||
32188|20131219|||
46211917|20200722|||
24704|20100511|||
35888|20150319|||
948631|20180117|||
13871|20020918|||
54158|19960702|||
15352|20040316|||
27397|20110712|||
59306|20010116|||
58476|20000608|||
26991|20110211|||
58649|20000628|||
16784|20050418|||
59314|20010206|||
27407|20150527|||
21971|20080910|||
238345|20160504|||
241041|20160812|||
19652|20070427|||
26969153|20181109|||
26267|20101112|||
242520|20161017|||
47753|19940425|||
14720|20091225|||
416223|20170509|||
21117|20080310|||
942729|20180201|||
28397|20110812|||
36107|20151210|||
418064|20170519|||
614683|20171110|||
912513|20171227|||
55261|19970703|||
57121|19991105|||
56268|19970925|||
56821|19980529|||
55503|19970718|||
24090|20100126|||
27304|20140124|20240329.0||20240325.0
13547|20020606|||
25933|20100929|||
56473|19980122|||
58637|20000628|20200205.0||
35870|20150630|20220623.0||20220623.0
23933|20100113|||
20458|20071012|||
28314|20110819|||
26691|20110111|||
18698|20061116|||
241929|20161010|||
55694|19970901|||
47457|19930507|||
47345|19921202|||
27785|20110509|||
54282|19960806|||
26570|20110113|20200702.0||
15166|20101112|||
58634|20000526|||
30160|20140129|20220630.0||20220630.0
18372|20061123|||
47369|19930518|||
57131|19991104|||
13022|20020108|||
53698|19960701|||
54578|19961128|||
56380|19971127|20240815.0||20240809.0
24642|20100506|||
56926|19980904|||
266783|20170324|||
26696|20110531|||
36009|20150611|||
15541|20040517|||
28571|20120523|||
242409|20161027|||
416970|20170511|||
524742|20170802|||
428078|20170728|||
50218|20061027|||
24411|20100120|||
26628|20101215|||
18344|20060823|||
23376|20091103|||
23686|20091030|20220629.0||20220629.0
23942|20100115|||
427273|20170717|||
18489|20060922|||
25167508|20180921|||
36024|20150217|||
241444|20160923|||
241660|20160930|||
24014|20100126|||
241659|20160909|||
243967|20161209|||
19334|20070403|||
25651|20120329|||
28611|20160322|||
30066|20140129|||
28595|20110920|||
27940|20110602|||
419845|20170602|||
20679|20071212|||
27268|20120217|||
28378|20141203|||
619704|20171127|||
21602|20080528|||
36371|20141231|||
28258|20111012|||
19544|20070420|||
243587|20161118|||
539035|20170908|||
28548|20150427|||
56850|19980623|||
25229|20101231|||
529771|20170808|||
28935|20120308|||
15491|20040420|||
244513|20161228|||
35973|20160218|||
244914|20170112|||
588265|20171106|||
23412|20120523|||
29129|20120217|||
15087|20110928|||
36034|20160311|||
47415|19931108|||
614684|20171110|||
27210|20140117|||
55160|19970228|||
14102|20021226|||
54651|19961224|||
21969|20080905|||
56912|19980825|||
28254|20110927|||
35992|20151223|||
14660|20030731|||
56710|19980303|||
47494|19931201|||
57257|20000622|||
54429|19960923|||
55045|19961126|||
56082|19980616|||
12927|20011212|||
14615|20030717|||
54514|19961107|||
13856|20020916|||
54222|19960816|||
15800|20040715|||
29807|20120628|||
54618|19961210|||
50563|19940617|||
57764|20000427|20240724.0||20240724.0
29803|20140127|20210715.0||
47834|19940509|||
15434|20040407|||
55280|19970418|||
58744|20000825|||
47762|19940103|||
15119|20031230|||
55109|19970128|||
21601|20080612|||
47771|19940110|||
13453|20020517|||
47466|19930908|||
56967|19981028|20240918.0||20240919.0
23343|20090821|20240816.0||20240816.0
15385|20040324|||
27545|20110412|||
19326|20070301|||
50217|20100715|||
56340|19971031|||
25270|20110107|||
26562|20120906|||
35854|20150319|||
22688|20110201|||
24907|20100421|||
27405|20150528|||
428379|20170712|||
244895|20170111|||
503822|20170721|||
35849|20151231|||
267955|20170421|||
35991|20150612|||
50483|19950315|||
18328|20060802|||
553116|20170929|||
